Season,Week,Celebrity,Method,JudgeScore,EstFanVotePct,IsEliminated,ResultStatus,Confidence
1,1,John O'Hurley,Rank,20.0,0.14390660696430257,False,No Elimination,0.0
1,1,Kelly Monaco,Rank,13.0,0.17255840078377885,False,No Elimination,0.0
1,1,Evander Holyfield,Rank,18.0,0.2005883628161036,False,No Elimination,0.0
1,1,Rachel Hunter,Rank,20.0,0.1538532390560498,False,No Elimination,0.0
1,1,Joey McIntyre,Rank,20.0,0.1712031322032175,False,No Elimination,0.0
1,1,Trista Sutter,Rank,18.0,0.15789025817654767,False,No Elimination,0.0
1,2,John O'Hurley,Rank,26.0,0.15188223736900686,False,Success,0.27624309392265195
1,2,Kelly Monaco,Rank,17.0,0.20233973063314417,False,Success,0.27624309392265195
1,2,Evander Holyfield,Rank,14.0,0.27482255599778493,False,Success,0.27624309392265195
1,2,Rachel Hunter,Rank,24.0,0.15468920766655908,False,Success,0.27624309392265195
1,2,Joey McIntyre,Rank,21.0,0.1806667836578873,False,Success,0.27624309392265195
1,2,Trista Sutter,Rank,19.0,0.035599484675617646,True,Success,0.27624309392265195
1,3,John O'Hurley,Rank,24.0,0.16809590793541684,False,Success,0.631578947368421
1,3,Kelly Monaco,Rank,21.0,0.2671561413551155,False,Success,0.631578947368421
1,3,Evander Holyfield,Rank,13.0,0.1270562932691471,True,Success,0.631578947368421
1,3,Rachel Hunter,Rank,26.0,0.21138403695396518,False,Success,0.631578947368421
1,3,Joey McIntyre,Rank,22.0,0.2263076204863555,False,Success,0.631578947368421
1,4,John O'Hurley,Rank,21.0,0.24198276014137254,False,Success,0.2188183807439825
1,4,Kelly Monaco,Rank,26.0,0.24080738058166518,False,Success,0.2188183807439825
1,4,Rachel Hunter,Rank,25.0,0.06544813997231703,True,Success,0.2188183807439825
1,4,Joey McIntyre,Rank,20.0,0.451761719304645,False,Success,0.2188183807439825
1,5,John O'Hurley,Rank,27.0,0.2950912622232689,False,No Elimination,0.0
1,5,Kelly Monaco,Rank,23.5,0.35384390868964993,False,No Elimination,0.0
1,5,Joey McIntyre,Rank,22.5,0.3510648290870811,False,No Elimination,0.0
1,6,John O'Hurley,Rank,27.0,0.2950912622232689,False,No Elimination,0.0
1,6,Kelly Monaco,Rank,27.5,0.35384390868964993,False,No Elimination,0.0
1,6,Joey McIntyre,Rank,0.0,0.3510648290870811,False,No Elimination,0.0
2,1,Tatum O'Neal,Rank,23.0,0.0990583466639934,False,Success,0.25
2,1,Tia Carrere,Rank,20.0,0.0943343097136588,False,Success,0.25
2,1,George Hamilton,Rank,18.0,0.0952241535808214,False,Success,0.25
2,1,Lisa Rinna,Rank,19.0,0.10204972198891506,False,Success,0.25
2,1,Stacy Keibler,Rank,22.0,0.1378261189147132,False,Success,0.25
2,1,Jerry Rice,Rank,21.0,0.11518334373730629,False,Success,0.25
2,1,Giselle Fernandez,Rank,23.0,0.09021855838678873,False,Success,0.25
2,1,Master P,Rank,12.0,0.12898394972881222,False,Success,0.25
2,1,Drew Lachey,Rank,24.0,0.11118758949180342,False,Success,0.25
2,1,Kenny Mayne,Rank,13.0,0.025933907793187248,True,Success,0.25
2,2,Tatum O'Neal,Rank,17.0,0.02448179924199973,True,Success,0.3614457831325301
2,2,Tia Carrere,Rank,22.0,0.11365361953726494,False,Success,0.3614457831325301
2,2,George Hamilton,Rank,22.0,0.0836927767299386,False,Success,0.3614457831325301
2,2,Lisa Rinna,Rank,20.0,0.11587664718261213,False,Success,0.3614457831325301
2,2,Stacy Keibler,Rank,29.0,0.1600248134697137,False,Success,0.3614457831325301
2,2,Jerry Rice,Rank,23.0,0.14497832999729393,False,Success,0.3614457831325301
2,2,Giselle Fernandez,Rank,24.0,0.08780600084447997,False,Success,0.3614457831325301
2,2,Master P,Rank,16.0,0.14302366154941132,False,Success,0.3614457831325301
2,2,Drew Lachey,Rank,27.0,0.12646235144728582,False,Success,0.3614457831325301
2,3,Tia Carrere,Rank,26.0,0.11925018761168701,False,Success,0.25906735751295334
2,3,George Hamilton,Rank,22.0,0.114654197143758,False,Success,0.25906735751295334
2,3,Lisa Rinna,Rank,25.0,0.11063989258763918,False,Success,0.25906735751295334
2,3,Stacy Keibler,Rank,27.0,0.17187477658340158,False,Success,0.25906735751295334
2,3,Jerry Rice,Rank,19.0,0.15955065019562517,False,Success,0.25906735751295334
2,3,Giselle Fernandez,Rank,22.0,0.022267767875492794,True,Success,0.25906735751295334
2,3,Master P,Rank,14.0,0.1764652901346637,False,Success,0.25906735751295334
2,3,Drew Lachey,Rank,27.0,0.12529723786773272,False,Success,0.25906735751295334
2,4,Tia Carrere,Rank,25.0,0.1384924684477191,False,Success,0.5366726296958855
2,4,George Hamilton,Rank,21.0,0.15897865974207157,False,Success,0.5366726296958855
2,4,Lisa Rinna,Rank,26.0,0.12806238887587806,False,Success,0.5366726296958855
2,4,Stacy Keibler,Rank,26.0,0.20232333400373362,False,Success,0.5366726296958855
2,4,Jerry Rice,Rank,24.0,0.17357311888180765,False,Success,0.5366726296958855
2,4,Master P,Rank,8.0,0.05016443912222268,True,Success,0.5366726296958855
2,4,Drew Lachey,Rank,28.0,0.14840559092656735,False,Success,0.5366726296958855
2,5,Tia Carrere,Rank,22.0,0.06779216765045887,True,Success,0.5607476635514018
2,5,George Hamilton,Rank,24.0,0.1386788096289624,False,Success,0.5607476635514018
2,5,Lisa Rinna,Rank,25.0,0.15772517140979717,False,Success,0.5607476635514018
2,5,Stacy Keibler,Rank,30.0,0.22613140755764116,False,Success,0.5607476635514018
2,5,Jerry Rice,Rank,23.0,0.23390554023602975,False,Success,0.5607476635514018
2,5,Drew Lachey,Rank,27.0,0.17576690351711066,False,Success,0.5607476635514018
2,6,George Hamilton,Rank,23.0,0.04916995511567394,True,Success,0.5514705882352942
